clube,ano_referencia,pontuacao_final,total_golsM,total_golsS,rebaixado,km
Atlético Mineiro,2010,45,52,64,0,33326.0
Flamengo,2010,44,41,44,0,31180.0
Avaí,2010,43,49,58,0,44050.0
Atlético-GO,2010,42,51,57,0,46096.0
Vitória           ,2010,42,42,48,1,73610.0
Guarani           ,2010,37,33,53,1,27488.4
Goiás,2010,33,41,68,1,46096.0
Grêmio Prudente,2010,28,39,64,1,26766.0
Atlético-GO,2011,48,50,45,0,50176.0
Bahia,2011,46,43,49,0,75204.0
Atlético-MG,2011,45,50,60,0,33732.0
Cruzeiro,2011,43,48,51,0,33732.0
Atlético Paranaense,2011,41,38,55,1,33970.0
Ceará,2011,39,47,64,1,108832.0
América Mineiro,2011,37,51,69,1,33732.0
Avaí,2011,31,45,75,1,41054.0
Coritiba,2012,48,53,60,0,38654.0
Ponte Preta,2012,48,37,44,0,30720.0
Bahia,2012,47,37,41,0,71124.0
Portuguesa,2012,45,39,41,0,29161.4
Sport,2012,41,39,56,1,92496.0
Palmeiras,2012,34,39,54,1,29163.4
Atlético Goianiense,2012,30,37,67,1,51064.0
Figueirense,2012,30,39,72,1,46908.0
Internacional,2013,48,51,52,0,58312.0
Criciúma,2013,46,49,63,0,50172.0
Fluminense,2013,46,43,47,0,32540.0
Flamengo,2013,45,43,46,0,32540.0
Portuguesa,2013,44,50,46,1,28985.4
Vasco da Gama,2013,44,50,61,1,32540.0
Ponte Preta,2013,37,37,55,1,30492.2
Náutico,2013,20,22,79,1,95296.0
Figueirense,2014,47,37,47,0,42498.0
Coritiba,2014,47,42,45,0,35796.0
Chapecoense,2014,43,39,44,0,48282.0
Palmeiras,2014,40,34,59,0,31074.0
Vitória,2014,38,37,54,1,74534.0
Bahia,2014,37,31,43,1,74534.0
Botafogo,2014,34,31,48,1,36458.0
Criciúma,2014,32,28,56,1,47108.0
Fluminense,2015,47,40,49,0,32470.0
Chapecoense,2015,47,34,44,0,39824.0
Coritiba,2015,44,31,42,0,27210.0
Figueirense,2015,43,36,50,0,33380.0
Avaí,2015,42,38,60,1,33380.0
Vasco da Gama,2015,41,28,54,1,32470.0
Goiás,2015,38,39,49,1,50294.0
Joinville,2015,31,26,48,1,29366.0
Fluminense,2016,50,45,45,0,34560.0
Sport,2016,47,49,55,0,95154.0
Coritiba,2016,46,41,42,0,36514.0
Vitória,2016,45,51,53,0,73780.0
Internacional,2016,43,35,41,1,57168.0
Figueirense,2016,37,30,50,1,44364.0
Santa Cruz,2016,31,45,69,1,95154.0
América Mineiro,2016,28,23,58,1,36308.0
São Paulo,2017,50,48,49,0,28121.4
Fluminense,2017,47,50,53,0,31676.0
Sport,2017,45,46,58,0,94430.0
Vitória,2017,43,50,58,0,69830.0
Coritiba,2017,43,42,51,1,35978.0
Avaí,2017,43,29,48,1,44968.0
Ponte Preta,2017,39,37,52,1,29626.2
Atlético Goianiense,2017,36,38,56,1,49536.0
Corinthians,2018,44,34,35,0,34046.0
Chapecoense,2018,44,34,50,0,55966.0
Ceará,2018,44,32,38,0,101350.0
Vasco da Gama,2018,43,41,48,0,35006.0
Sport,2018,42,35,57,1,91002.0
América Mineiro,2018,40,30,47,1,36726.0
Vitória,2018,37,36,63,1,68564.0
Paraná,2018,23,18,57,1,41932.0
Atlético-MG,2019,48,45,49,0,40448.0
Fluminense,2019,46,38,46,0,38754.0
Botafogo,2019,43,31,45,0,38754.0
Ceará,2019,39,36,41,0,99598.0
Cruzeiro,2019,36,27,46,1,40448.0
CSA,2019,32,24,58,1,85028.0
Chapecoense,2019,32,31,52,1,57472.0
Avaí,2019,20,18,62,1,57472.0
Atlético-GO,2020,50,40,45,0,51074.0
Bahia,2020,44,48,59,0,70206.0
Sport,2020,42,31,50,0,90224.0
Fortaleza,2020,41,34,44,0,96632.0
Vasco da Gama,2020,41,37,56,1,38636.0
Goiás,2020,37,41,63,1,51074.0
Coritiba,2020,31,31,54,1,45084.0
Botafogo,2020,27,32,62,1,38636.0